"date","seconds","heartrate","time","calendarDate"
2025-08-20,1755662400000,84,2025-08-20,2025-08-20
2025-08-20,1755662520000,86,2025-08-20 00:02:00,2025-08-20
2025-08-20,1755662640000,60,2025-08-20 00:04:00,2025-08-20
2025-08-20,1755662760000,64,2025-08-20 00:06:00,2025-08-20
2025-08-20,1755662880000,58,2025-08-20 00:08:00,2025-08-20
2025-08-20,1.755663e+12,57,2025-08-20 00:10:00,2025-08-20
2025-08-20,1755663120000,59,2025-08-20 00:12:00,2025-08-20
2025-08-20,1755663240000,60,2025-08-20 00:14:00,2025-08-20
2025-08-20,1755663360000,57,2025-08-20 00:16:00,2025-08-20
2025-08-20,1755663480000,64,2025-08-20 00:18:00,2025-08-20
2025-08-20,1755663600000,60,2025-08-20 00:20:00,2025-08-20
2025-08-20,1755663720000,59,2025-08-20 00:22:00,2025-08-20
2025-08-20,1755663840000,60,2025-08-20 00:24:00,2025-08-20
2025-08-20,1755663960000,61,2025-08-20 00:26:00,2025-08-20
2025-08-20,1755664080000,59,2025-08-20 00:28:00,2025-08-20
2025-08-20,1755664200000,60,2025-08-20 00:30:00,2025-08-20
2025-08-20,1755664320000,57,2025-08-20 00:32:00,2025-08-20
2025-08-20,1755664440000,57,2025-08-20 00:34:00,2025-08-20
2025-08-20,1755664560000,57,2025-08-20 00:36:00,2025-08-20
2025-08-20,1755664680000,54,2025-08-20 00:38:00,2025-08-20
2025-08-20,1755664800000,54,2025-08-20 00:40:00,2025-08-20
2025-08-20,1755664920000,53,2025-08-20 00:42:00,2025-08-20
2025-08-20,1755665040000,53,2025-08-20 00:44:00,2025-08-20
2025-08-20,1755665160000,55,2025-08-20 00:46:00,2025-08-20
2025-08-20,1755665280000,53,2025-08-20 00:48:00,2025-08-20
2025-08-20,1755665400000,54,2025-08-20 00:50:00,2025-08-20
2025-08-20,1755665520000,55,2025-08-20 00:52:00,2025-08-20
2025-08-20,1755665640000,56,2025-08-20 00:54:00,2025-08-20
2025-08-20,1755665760000,53,2025-08-20 00:56:00,2025-08-20
2025-08-20,1755665880000,54,2025-08-20 00:58:00,2025-08-20
2025-08-20,1.755666e+12,57,2025-08-20 01:00:00,2025-08-20
2025-08-20,1755666120000,53,2025-08-20 01:02:00,2025-08-20
2025-08-20,1755666240000,54,2025-08-20 01:04:00,2025-08-20
2025-08-20,1755666360000,55,2025-08-20 01:06:00,2025-08-20
2025-08-20,1755666480000,55,2025-08-20 01:08:00,2025-08-20
2025-08-20,1755666600000,56,2025-08-20 01:10:00,2025-08-20
2025-08-20,1755666720000,56,2025-08-20 01:12:00,2025-08-20
2025-08-20,1755666840000,56,2025-08-20 01:14:00,2025-08-20
2025-08-20,1755666960000,57,2025-08-20 01:16:00,2025-08-20
2025-08-20,1755667080000,57,2025-08-20 01:18:00,2025-08-20
2025-08-20,1755667200000,57,2025-08-20 01:20:00,2025-08-20
2025-08-20,1755667320000,57,2025-08-20 01:22:00,2025-08-20
2025-08-20,1755667440000,57,2025-08-20 01:24:00,2025-08-20
2025-08-20,1755667560000,56,2025-08-20 01:26:00,2025-08-20
2025-08-20,1755667680000,57,2025-08-20 01:28:00,2025-08-20
2025-08-20,1755667800000,55,2025-08-20 01:30:00,2025-08-20
2025-08-20,1755667920000,54,2025-08-20 01:32:00,2025-08-20
2025-08-20,1755668040000,55,2025-08-20 01:34:00,2025-08-20
2025-08-20,1755668160000,56,2025-08-20 01:36:00,2025-08-20
2025-08-20,1755668280000,56,2025-08-20 01:38:00,2025-08-20
2025-08-20,1755668400000,55,2025-08-20 01:40:00,2025-08-20
2025-08-20,1755668520000,56,2025-08-20 01:42:00,2025-08-20
2025-08-20,1755668640000,56,2025-08-20 01:44:00,2025-08-20
2025-08-20,1755668760000,54,2025-08-20 01:46:00,2025-08-20
2025-08-20,1755668880000,51,2025-08-20 01:48:00,2025-08-20
2025-08-20,1.755669e+12,55,2025-08-20 01:50:00,2025-08-20
2025-08-20,1755669120000,52,2025-08-20 01:52:00,2025-08-20
2025-08-20,1755669240000,54,2025-08-20 01:54:00,2025-08-20
2025-08-20,1755669360000,54,2025-08-20 01:56:00,2025-08-20
2025-08-20,1755669480000,51,2025-08-20 01:58:00,2025-08-20
2025-08-20,1755669600000,52,2025-08-20 02:00:00,2025-08-20
2025-08-20,1755669720000,51,2025-08-20 02:02:00,2025-08-20
2025-08-20,1755669840000,53,2025-08-20 02:04:00,2025-08-20
2025-08-20,1755669960000,52,2025-08-20 02:06:00,2025-08-20
2025-08-20,1755670080000,52,2025-08-20 02:08:00,2025-08-20
2025-08-20,1755670200000,51,2025-08-20 02:10:00,2025-08-20
2025-08-20,1755670320000,51,2025-08-20 02:12:00,2025-08-20
2025-08-20,1755670440000,51,2025-08-20 02:14:00,2025-08-20
2025-08-20,1755670560000,52,2025-08-20 02:16:00,2025-08-20
2025-08-20,1755670680000,52,2025-08-20 02:18:00,2025-08-20
2025-08-20,1755670800000,52,2025-08-20 02:20:00,2025-08-20
2025-08-20,1755670920000,52,2025-08-20 02:22:00,2025-08-20
2025-08-20,1755671040000,52,2025-08-20 02:24:00,2025-08-20
2025-08-20,1755671160000,55,2025-08-20 02:26:00,2025-08-20
2025-08-20,1755671280000,54,2025-08-20 02:28:00,2025-08-20
2025-08-20,1755671400000,54,2025-08-20 02:30:00,2025-08-20
2025-08-20,1755671520000,56,2025-08-20 02:32:00,2025-08-20
2025-08-20,1755671640000,56,2025-08-20 02:34:00,2025-08-20
2025-08-20,1755671760000,56,2025-08-20 02:36:00,2025-08-20
2025-08-20,1755671880000,57,2025-08-20 02:38:00,2025-08-20
2025-08-20,1.755672e+12,56,2025-08-20 02:40:00,2025-08-20
2025-08-20,1755672120000,56,2025-08-20 02:42:00,2025-08-20
2025-08-20,1755672240000,57,2025-08-20 02:44:00,2025-08-20
2025-08-20,1755672360000,57,2025-08-20 02:46:00,2025-08-20
2025-08-20,1755672480000,58,2025-08-20 02:48:00,2025-08-20
2025-08-20,1755672600000,58,2025-08-20 02:50:00,2025-08-20
2025-08-20,1755672720000,59,2025-08-20 02:52:00,2025-08-20
2025-08-20,1755672840000,58,2025-08-20 02:54:00,2025-08-20
2025-08-20,1755672960000,60,2025-08-20 02:56:00,2025-08-20
2025-08-20,1755673080000,60,2025-08-20 02:58:00,2025-08-20
2025-08-20,1755673200000,57,2025-08-20 03:00:00,2025-08-20
2025-08-20,1755673320000,58,2025-08-20 03:02:00,2025-08-20
2025-08-20,1755673440000,58,2025-08-20 03:04:00,2025-08-20
2025-08-20,1755673560000,59,2025-08-20 03:06:00,2025-08-20
2025-08-20,1755673680000,59,2025-08-20 03:08:00,2025-08-20
2025-08-20,1755673800000,55,2025-08-20 03:10:00,2025-08-20
2025-08-20,1755673920000,56,2025-08-20 03:12:00,2025-08-20
2025-08-20,1755674040000,57,2025-08-20 03:14:00,2025-08-20
2025-08-20,1755674160000,59,2025-08-20 03:16:00,2025-08-20
2025-08-20,1755674280000,59,2025-08-20 03:18:00,2025-08-20
2025-08-20,1755674400000,58,2025-08-20 03:20:00,2025-08-20
2025-08-20,1755674520000,58,2025-08-20 03:22:00,2025-08-20
2025-08-20,1755674640000,58,2025-08-20 03:24:00,2025-08-20
2025-08-20,1755674760000,59,2025-08-20 03:26:00,2025-08-20
2025-08-20,1755674880000,59,2025-08-20 03:28:00,2025-08-20
2025-08-20,1.755675e+12,59,2025-08-20 03:30:00,2025-08-20
2025-08-20,1755675120000,58,2025-08-20 03:32:00,2025-08-20
2025-08-20,1755675240000,57,2025-08-20 03:34:00,2025-08-20
2025-08-20,1755675360000,59,2025-08-20 03:36:00,2025-08-20
2025-08-20,1755675480000,61,2025-08-20 03:38:00,2025-08-20
2025-08-20,1755675600000,60,2025-08-20 03:40:00,2025-08-20
2025-08-20,1755675720000,58,2025-08-20 03:42:00,2025-08-20
2025-08-20,1755675840000,56,2025-08-20 03:44:00,2025-08-20
2025-08-20,1755675960000,57,2025-08-20 03:46:00,2025-08-20
2025-08-20,1755676080000,55,2025-08-20 03:48:00,2025-08-20
2025-08-20,1755676200000,60,2025-08-20 03:50:00,2025-08-20
2025-08-20,1755676320000,53,2025-08-20 03:52:00,2025-08-20
2025-08-20,1755676440000,56,2025-08-20 03:54:00,2025-08-20
2025-08-20,1755676560000,56,2025-08-20 03:56:00,2025-08-20
2025-08-20,1755676680000,66,2025-08-20 03:58:00,2025-08-20
2025-08-20,1755676800000,76,2025-08-20 04:00:00,2025-08-20
2025-08-20,1755676920000,70,2025-08-20 04:02:00,2025-08-20
2025-08-20,1755677040000,57,2025-08-20 04:04:00,2025-08-20
2025-08-20,1755677160000,59,2025-08-20 04:06:00,2025-08-20
2025-08-20,1755677280000,58,2025-08-20 04:08:00,2025-08-20
2025-08-20,1755677400000,58,2025-08-20 04:10:00,2025-08-20
2025-08-20,1755677520000,59,2025-08-20 04:12:00,2025-08-20
2025-08-20,1755677640000,59,2025-08-20 04:14:00,2025-08-20
2025-08-20,1755677760000,59,2025-08-20 04:16:00,2025-08-20
2025-08-20,1755677880000,60,2025-08-20 04:18:00,2025-08-20
2025-08-20,1.755678e+12,61,2025-08-20 04:20:00,2025-08-20
2025-08-20,1755678120000,61,2025-08-20 04:22:00,2025-08-20
2025-08-20,1755678240000,61,2025-08-20 04:24:00,2025-08-20
2025-08-20,1755678360000,62,2025-08-20 04:26:00,2025-08-20
2025-08-20,1755678480000,61,2025-08-20 04:28:00,2025-08-20
2025-08-20,1755678600000,62,2025-08-20 04:30:00,2025-08-20
2025-08-20,1755678720000,63,2025-08-20 04:32:00,2025-08-20
2025-08-20,1755678840000,62,2025-08-20 04:34:00,2025-08-20
2025-08-20,1755678960000,63,2025-08-20 04:36:00,2025-08-20
2025-08-20,1755679080000,63,2025-08-20 04:38:00,2025-08-20
2025-08-20,1755679200000,63,2025-08-20 04:40:00,2025-08-20
2025-08-20,1755679320000,62,2025-08-20 04:42:00,2025-08-20
2025-08-20,1755679440000,63,2025-08-20 04:44:00,2025-08-20
2025-08-20,1755679560000,62,2025-08-20 04:46:00,2025-08-20
2025-08-20,1755679680000,61,2025-08-20 04:48:00,2025-08-20
2025-08-20,1755679800000,62,2025-08-20 04:50:00,2025-08-20
2025-08-20,1755679920000,60,2025-08-20 04:52:00,2025-08-20
2025-08-20,1755680040000,61,2025-08-20 04:54:00,2025-08-20
2025-08-20,1755680160000,60,2025-08-20 04:56:00,2025-08-20
2025-08-20,1755680280000,61,2025-08-20 04:58:00,2025-08-20
2025-08-20,1755680400000,62,2025-08-20 05:00:00,2025-08-20
2025-08-20,1755680520000,61,2025-08-20 05:02:00,2025-08-20
2025-08-20,1755680640000,59,2025-08-20 05:04:00,2025-08-20
2025-08-20,1755680760000,69,2025-08-20 05:06:00,2025-08-20
2025-08-20,1755680880000,67,2025-08-20 05:08:00,2025-08-20
2025-08-20,1.755681e+12,64,2025-08-20 05:10:00,2025-08-20
2025-08-20,1755681120000,62,2025-08-20 05:12:00,2025-08-20
2025-08-20,1755681240000,60,2025-08-20 05:14:00,2025-08-20
2025-08-20,1755681360000,60,2025-08-20 05:16:00,2025-08-20
2025-08-20,1755681480000,61,2025-08-20 05:18:00,2025-08-20
2025-08-20,1755681600000,60,2025-08-20 05:20:00,2025-08-20
2025-08-20,1755681720000,58,2025-08-20 05:22:00,2025-08-20
2025-08-20,1755681840000,60,2025-08-20 05:24:00,2025-08-20
2025-08-20,1755681960000,59,2025-08-20 05:26:00,2025-08-20
2025-08-20,1755682080000,58,2025-08-20 05:28:00,2025-08-20
2025-08-20,1755682200000,58,2025-08-20 05:30:00,2025-08-20
2025-08-20,1755682320000,59,2025-08-20 05:32:00,2025-08-20
2025-08-20,1755682440000,59,2025-08-20 05:34:00,2025-08-20
2025-08-20,1755682560000,59,2025-08-20 05:36:00,2025-08-20
2025-08-20,1755682680000,60,2025-08-20 05:38:00,2025-08-20
2025-08-20,1755682800000,59,2025-08-20 05:40:00,2025-08-20
2025-08-20,1755682920000,58,2025-08-20 05:42:00,2025-08-20
2025-08-20,1755683040000,60,2025-08-20 05:44:00,2025-08-20
2025-08-20,1755683160000,58,2025-08-20 05:46:00,2025-08-20
2025-08-20,1755683280000,59,2025-08-20 05:48:00,2025-08-20
2025-08-20,1755683400000,59,2025-08-20 05:50:00,2025-08-20
2025-08-20,1755683520000,59,2025-08-20 05:52:00,2025-08-20
2025-08-20,1755683640000,62,2025-08-20 05:54:00,2025-08-20
2025-08-20,1755683760000,59,2025-08-20 05:56:00,2025-08-20
2025-08-20,1755683880000,59,2025-08-20 05:58:00,2025-08-20
2025-08-20,1.755684e+12,60,2025-08-20 06:00:00,2025-08-20
2025-08-20,1755684120000,61,2025-08-20 06:02:00,2025-08-20
2025-08-20,1755684240000,56,2025-08-20 06:04:00,2025-08-20
2025-08-20,1755684360000,60,2025-08-20 06:06:00,2025-08-20
2025-08-20,1755684480000,58,2025-08-20 06:08:00,2025-08-20
2025-08-20,1755684600000,58,2025-08-20 06:10:00,2025-08-20
2025-08-20,1755684720000,58,2025-08-20 06:12:00,2025-08-20
2025-08-20,1755684840000,60,2025-08-20 06:14:00,2025-08-20
2025-08-20,1755684960000,58,2025-08-20 06:16:00,2025-08-20
2025-08-20,1755685080000,59,2025-08-20 06:18:00,2025-08-20
2025-08-20,1755685200000,59,2025-08-20 06:20:00,2025-08-20
2025-08-20,1755685320000,60,2025-08-20 06:22:00,2025-08-20
2025-08-20,1755685440000,59,2025-08-20 06:24:00,2025-08-20
2025-08-20,1755685560000,60,2025-08-20 06:26:00,2025-08-20
2025-08-20,1755685680000,59,2025-08-20 06:28:00,2025-08-20
2025-08-20,1755685800000,59,2025-08-20 06:30:00,2025-08-20
2025-08-20,1755685920000,59,2025-08-20 06:32:00,2025-08-20
2025-08-20,1755686040000,62,2025-08-20 06:34:00,2025-08-20
2025-08-20,1755686160000,60,2025-08-20 06:36:00,2025-08-20
2025-08-20,1755686280000,57,2025-08-20 06:38:00,2025-08-20
2025-08-20,1755686400000,58,2025-08-20 06:40:00,2025-08-20
2025-08-20,1755686520000,57,2025-08-20 06:42:00,2025-08-20
2025-08-20,1755686640000,59,2025-08-20 06:44:00,2025-08-20
2025-08-20,1755686760000,58,2025-08-20 06:46:00,2025-08-20
2025-08-20,1755686880000,59,2025-08-20 06:48:00,2025-08-20
2025-08-20,1.755687e+12,57,2025-08-20 06:50:00,2025-08-20
2025-08-20,1755687120000,58,2025-08-20 06:52:00,2025-08-20
2025-08-20,1755687240000,56,2025-08-20 06:54:00,2025-08-20
2025-08-20,1755687360000,60,2025-08-20 06:56:00,2025-08-20
2025-08-20,1755687480000,60,2025-08-20 06:58:00,2025-08-20
2025-08-20,1755687600000,59,2025-08-20 07:00:00,2025-08-20
2025-08-20,1755687720000,59,2025-08-20 07:02:00,2025-08-20
2025-08-20,1755687840000,59,2025-08-20 07:04:00,2025-08-20
2025-08-20,1755687960000,62,2025-08-20 07:06:00,2025-08-20
2025-08-20,1755688080000,61,2025-08-20 07:08:00,2025-08-20
2025-08-20,1755688200000,61,2025-08-20 07:10:00,2025-08-20
2025-08-20,1755688320000,61,2025-08-20 07:12:00,2025-08-20
2025-08-20,1755688440000,60,2025-08-20 07:14:00,2025-08-20
2025-08-20,1755688560000,58,2025-08-20 07:16:00,2025-08-20
2025-08-20,1755688680000,60,2025-08-20 07:18:00,2025-08-20
2025-08-20,1755688800000,57,2025-08-20 07:20:00,2025-08-20
2025-08-20,1755688920000,59,2025-08-20 07:22:00,2025-08-20
2025-08-20,1755689040000,58,2025-08-20 07:24:00,2025-08-20
2025-08-20,1755689160000,57,2025-08-20 07:26:00,2025-08-20
2025-08-20,1755689280000,59,2025-08-20 07:28:00,2025-08-20
2025-08-20,1755689400000,58,2025-08-20 07:30:00,2025-08-20
2025-08-20,1755689520000,64,2025-08-20 07:32:00,2025-08-20
2025-08-20,1755689640000,58,2025-08-20 07:34:00,2025-08-20
2025-08-20,1755689760000,58,2025-08-20 07:36:00,2025-08-20
2025-08-20,1755689880000,63,2025-08-20 07:38:00,2025-08-20
2025-08-20,1.75569e+12,61,2025-08-20 07:40:00,2025-08-20
2025-08-20,1755690120000,63,2025-08-20 07:42:00,2025-08-20
2025-08-20,1755690240000,65,2025-08-20 07:44:00,2025-08-20
2025-08-20,1755690360000,65,2025-08-20 07:46:00,2025-08-20
2025-08-20,1755690480000,67,2025-08-20 07:48:00,2025-08-20
2025-08-20,1755690600000,64,2025-08-20 07:50:00,2025-08-20
2025-08-20,1755690720000,77,2025-08-20 07:52:00,2025-08-20
2025-08-20,1755690840000,75,2025-08-20 07:54:00,2025-08-20
2025-08-20,1755690960000,87,2025-08-20 07:56:00,2025-08-20
2025-08-20,1755691080000,87,2025-08-20 07:58:00,2025-08-20
2025-08-20,1755691200000,85,2025-08-20 08:00:00,2025-08-20
2025-08-20,1755691320000,70,2025-08-20 08:02:00,2025-08-20
2025-08-20,1755691440000,67,2025-08-20 08:04:00,2025-08-20
2025-08-20,1755691560000,69,2025-08-20 08:06:00,2025-08-20
2025-08-20,1755691680000,60,2025-08-20 08:08:00,2025-08-20
2025-08-20,1755691800000,61,2025-08-20 08:10:00,2025-08-20
2025-08-20,1755691920000,62,2025-08-20 08:12:00,2025-08-20
2025-08-20,1755692040000,64,2025-08-20 08:14:00,2025-08-20
2025-08-20,1755692160000,67,2025-08-20 08:16:00,2025-08-20
2025-08-20,1755692280000,68,2025-08-20 08:18:00,2025-08-20
2025-08-20,1755692400000,66,2025-08-20 08:20:00,2025-08-20
2025-08-20,1755692520000,66,2025-08-20 08:22:00,2025-08-20
2025-08-20,1755692640000,64,2025-08-20 08:24:00,2025-08-20
2025-08-20,1755692760000,64,2025-08-20 08:26:00,2025-08-20
2025-08-20,1755692880000,67,2025-08-20 08:28:00,2025-08-20
2025-08-20,1.755693e+12,65,2025-08-20 08:30:00,2025-08-20
2025-08-20,1755693120000,62,2025-08-20 08:32:00,2025-08-20
2025-08-20,1755693240000,64,2025-08-20 08:34:00,2025-08-20
2025-08-20,1755693360000,78,2025-08-20 08:36:00,2025-08-20
2025-08-20,1755693480000,80,2025-08-20 08:38:00,2025-08-20
2025-08-20,1755693600000,84,2025-08-20 08:40:00,2025-08-20
2025-08-20,1755693720000,88,2025-08-20 08:42:00,2025-08-20
2025-08-20,1755693840000,71,2025-08-20 08:44:00,2025-08-20
2025-08-20,1755693960000,72,2025-08-20 08:46:00,2025-08-20
2025-08-20,1755694080000,75,2025-08-20 08:48:00,2025-08-20
2025-08-20,1755694200000,73,2025-08-20 08:50:00,2025-08-20
2025-08-20,1755694320000,73,2025-08-20 08:52:00,2025-08-20
2025-08-20,1755694440000,73,2025-08-20 08:54:00,2025-08-20
2025-08-20,1755694560000,72,2025-08-20 08:56:00,2025-08-20
2025-08-20,1755694680000,76,2025-08-20 08:58:00,2025-08-20
2025-08-20,1755694800000,73,2025-08-20 09:00:00,2025-08-20
2025-08-20,1755694920000,83,2025-08-20 09:02:00,2025-08-20
2025-08-20,1755695040000,72,2025-08-20 09:04:00,2025-08-20
2025-08-20,1755695160000,75,2025-08-20 09:06:00,2025-08-20
2025-08-20,1755695280000,75,2025-08-20 09:08:00,2025-08-20
2025-08-20,1755695400000,75,2025-08-20 09:10:00,2025-08-20
2025-08-20,1755695520000,72,2025-08-20 09:12:00,2025-08-20
2025-08-20,1755695640000,76,2025-08-20 09:14:00,2025-08-20
2025-08-20,1755695760000,79,2025-08-20 09:16:00,2025-08-20
2025-08-20,1755695880000,77,2025-08-20 09:18:00,2025-08-20
2025-08-20,1.755696e+12,78,2025-08-20 09:20:00,2025-08-20
2025-08-20,1755696120000,76,2025-08-20 09:22:00,2025-08-20
2025-08-20,1755696240000,79,2025-08-20 09:24:00,2025-08-20
2025-08-20,1755696360000,79,2025-08-20 09:26:00,2025-08-20
2025-08-20,1755696480000,78,2025-08-20 09:28:00,2025-08-20
2025-08-20,1755696600000,76,2025-08-20 09:30:00,2025-08-20
2025-08-20,1755696720000,74,2025-08-20 09:32:00,2025-08-20
2025-08-20,1755696840000,74,2025-08-20 09:34:00,2025-08-20
2025-08-20,1755696960000,74,2025-08-20 09:36:00,2025-08-20
2025-08-20,1755697080000,74,2025-08-20 09:38:00,2025-08-20
2025-08-20,1755697200000,74,2025-08-20 09:40:00,2025-08-20
2025-08-20,1755697320000,74,2025-08-20 09:42:00,2025-08-20
2025-08-20,1755697440000,73,2025-08-20 09:44:00,2025-08-20
2025-08-20,1755697560000,73,2025-08-20 09:46:00,2025-08-20
2025-08-20,1755697680000,72,2025-08-20 09:48:00,2025-08-20
2025-08-20,1755697800000,77,2025-08-20 09:50:00,2025-08-20
2025-08-20,1755697920000,76,2025-08-20 09:52:00,2025-08-20
2025-08-20,1755698040000,74,2025-08-20 09:54:00,2025-08-20
2025-08-20,1755698160000,74,2025-08-20 09:56:00,2025-08-20
2025-08-20,1755698280000,74,2025-08-20 09:58:00,2025-08-20
2025-08-20,1755698400000,72,2025-08-20 10:00:00,2025-08-20
2025-08-20,1755698520000,73,2025-08-20 10:02:00,2025-08-20
2025-08-20,1755698640000,73,2025-08-20 10:04:00,2025-08-20
2025-08-20,1755698760000,73,2025-08-20 10:06:00,2025-08-20
2025-08-20,1755698880000,73,2025-08-20 10:08:00,2025-08-20
2025-08-20,1.755699e+12,69,2025-08-20 10:10:00,2025-08-20
2025-08-20,1755699120000,66,2025-08-20 10:12:00,2025-08-20
2025-08-20,1755699240000,67,2025-08-20 10:14:00,2025-08-20
2025-08-20,1755699360000,69,2025-08-20 10:16:00,2025-08-20
2025-08-20,1755699480000,67,2025-08-20 10:18:00,2025-08-20
2025-08-20,1755699600000,69,2025-08-20 10:20:00,2025-08-20
2025-08-20,1755699720000,75,2025-08-20 10:22:00,2025-08-20
2025-08-20,1755699840000,80,2025-08-20 10:24:00,2025-08-20
2025-08-20,1755699960000,81,2025-08-20 10:26:00,2025-08-20
2025-08-20,1755700080000,85,2025-08-20 10:28:00,2025-08-20
2025-08-20,1755700200000,75,2025-08-20 10:30:00,2025-08-20
2025-08-20,1755700320000,90,2025-08-20 10:32:00,2025-08-20
2025-08-20,1755700440000,69,2025-08-20 10:34:00,2025-08-20
2025-08-20,1755700560000,70,2025-08-20 10:36:00,2025-08-20
2025-08-20,1755700680000,70,2025-08-20 10:38:00,2025-08-20
2025-08-20,1755700800000,69,2025-08-20 10:40:00,2025-08-20
2025-08-20,1755700920000,67,2025-08-20 10:42:00,2025-08-20
2025-08-20,1755701040000,71,2025-08-20 10:44:00,2025-08-20
2025-08-20,1755701160000,67,2025-08-20 10:46:00,2025-08-20
2025-08-20,1755701280000,72,2025-08-20 10:48:00,2025-08-20
2025-08-20,1755701400000,69,2025-08-20 10:50:00,2025-08-20
2025-08-20,1755701520000,70,2025-08-20 10:52:00,2025-08-20
2025-08-20,1755701640000,71,2025-08-20 10:54:00,2025-08-20
2025-08-20,1755701760000,72,2025-08-20 10:56:00,2025-08-20
2025-08-20,1755701880000,70,2025-08-20 10:58:00,2025-08-20
2025-08-20,1.755702e+12,73,2025-08-20 11:00:00,2025-08-20
2025-08-20,1755702120000,69,2025-08-20 11:02:00,2025-08-20
2025-08-20,1755702240000,71,2025-08-20 11:04:00,2025-08-20
2025-08-20,1755702360000,71,2025-08-20 11:06:00,2025-08-20
2025-08-20,1755702480000,72,2025-08-20 11:08:00,2025-08-20
2025-08-20,1755702600000,68,2025-08-20 11:10:00,2025-08-20
2025-08-20,1755702720000,72,2025-08-20 11:12:00,2025-08-20
2025-08-20,1755702840000,68,2025-08-20 11:14:00,2025-08-20
2025-08-20,1755702960000,67,2025-08-20 11:16:00,2025-08-20
